UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
"No Good Cops, No Bad Protesters",@tommykellyinla,2020-11-14T19:33:02.000Z,"Replying to 
@DotKohlhaas
 and 
@davideryudon't give them ideas!!",,,,1
"Michael Kohlhaas Dot Org
=",@DotKohlhaas,2020-11-14T17:43:17.000Z,"Now do 
@davideryuSewell Chan
@sewellchan
 · Nov 14
Today, @latimesopinion devoted our entire letters page to Trump voters.

https://latimes.com/opinion/story/2020-11-14/handing-our-entire-letters-page-over-trump-voters…
Show this thread",🌞 🧼 🧽 🧹,3,2,36
Unrig LA,@UnrigLA,2020-11-13T21:33:51.000Z,"Godspeed 
@davideryu
 & 
@LindseyPHorvath",,,7,22
SocialHousing4All,@PeppeyRobert,2020-11-13T14:52:54.000Z,".
@davideryu
 & 
@latimesopinion
 castigated 
@nithyavraman
 as too left. Denounce
@latimes
 & DTLA elites red scare tactics.
Racist Central City Association’s 
@CCA_DTLA
 City Council allies need to go. 
@StreetWatchLA
 @DotKohlhaas
 @NOlympicsLA
 
@PplsCityCouncilProgressives are winning the Battle of San Francisco | 48 hills
The powerful moderates -- and their financial supporters -- lost overwhelmingly in the Nov. 3 election.
48hills.org",,,,
cheryl holland,@blossombike,2020-11-13T05:36:07.000Z,"Replying to 
@saras116We all miss 
@davideryu
 bc he was extremely helpful & proactive councilmember-including on homeless issue. Homelessness went up for many reasons but it was NOT bc ryu was not working on it. Check your facts. Right now I just see ignorant opinion.",,1,,
Beverly Press,@BeverlyPress,2020-11-12T21:00:18.000Z,"“Making sure our district and our residents are supported in this moment to stay housed, to stay fed and to stay healthy, and for small businesses to stay open  ... certainly is a priority for me,"" 
@nithyavraman
 said. 
@davideryu
 #la #losangelesRaman prepares to hit the ground running in L.A. - Park Labrea News/ Beverly Press
Nithya Raman has taken the first steps to represent the Los Angeles City Council’s 4th District after defeating...
beverlypress.com",,,,
People's City Council - Los Angeles,@PplsCityCouncil,2020-11-12T18:13:25.000Z,"We're getting started! Sounds like 
@davideryu
 is absent from today's meeting. 

David is licking is woundsPeople's City Council - Los Angeles
@PplsCityCouncil
 · Nov 6
Get in",,1,,21
Ben Welsh,@palewire,2020-11-11T23:50:55.000Z,"Replying to 
@nbousfield_
 @safrazie
 and 4 othersTo be clear, this is false. The media has no special or early access. We download data from the county website like everyone else. https://lavote.net/home/voting-elections/current-elections/election-results/past-election-results…",,1,,2
Priya Krishnakumar,@priyakkumar,2020-11-11T23:30:19.000Z,"Replying to 
@safrazie
 @acekatana
 and 2 othersthese are the semi-final results but since the race was called we felt that the results were decisive enough to map and see if we could find any overall takeaways/patterns.",,,1,2
Benjamin Oreskes,@boreskes,2020-11-11T23:22:04.000Z,"Replying to 
@jjkamensky
 @priyakkumar
 and 3 othersYou send me enough press releases, now you’re my assignment editor josh?! Sheesh",🦅 😁 😁 😁,,,1
nathan bousfield,@nbousfield_,2020-11-11T23:12:43.000Z,"Replying to 
@safrazie
 @acekatana
 and 3 othersthe county often provides data to political vendors and  media before it's publicly released",,1,,1
Joshua Joy Kamensky,@jjkamensky,2020-11-11T23:06:48.000Z,"Replying to 
@boreskes
 @priyakkumar
 and 3 othersBen can we get a special report on Precinct 9001135B",,1,,4
Scott Frazier,@safrazie,2020-11-11T23:06:34.000Z,"Replying to 
@acekatana
 @priyakkumar
 and 2 othersNo! Not sure where they’re getting up to date data from, if they are. Far as I’m aware only the semi-final precinct level data is out (cld b wrong obv)",,2,,2
sahra,@sahrasulaiman,2020-11-11T22:58:36.000Z,"Replying to 
@boreskes
 @priyakkumar
 and 3 othersmaking her votes red was a nice touch",,,,4
Bushido Squirrel Antifa Scum and Villany,@bushidosquirrel,2020-11-11T22:56:51.000Z,"Replying to 
@boreskes
 @priyakkumar
 and 3 othersit's a good map!",,,,1
steve c,@pavlovs_doggy,2020-11-11T22:44:32.000Z,"Replying to 
@boreskes
 @priyakkumar
 and 3 othersthank you for this!",,,,2
Benjamin Oreskes,@boreskes,2020-11-11T22:43:36.000Z,"Hello to all my CD 4 friends. Bask in the brilliance of this map from 
@priyakkumar
 +
@irisslee
 showing how the 
@nithyavraman
 + 
@davideryu
 showdown was won. .See where Nithya Raman beat David Ryu in L.A.'s 4th City Council District
Nithya Raman has unseated Los Angeles City Councilman David Ryu in the 4th District. Here’s where she picked up the most votes.
latimes.com",🦅,5,5,26
Kwisatz Sazerac,@acekatana,2020-11-11T22:02:41.000Z,"Replying to 
@priyakkumar
 @nithyavraman
 and 
@davideryu@safrazie
 you see this?",🥾,1,,2
Evan Ponter,@evanponter,2020-11-11T21:55:46.000Z,"Replying to 
@priyakkumar
 @MaximalistaC
 and 2 othersThis is just a wealth disparity map... oh wait",,,,1
