UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
VISION CA,@VoicesCA,2020-11-20T21:36:00.000Z,"@LACityCouncil
 @GavinNewsom
, local gov’ts 
@CulverCityGov
 & 
@CountyVentura
 are both taking on Big Oil in neighborhoods with phase out plans & buffer zones. Now the ball’s in your court. Move to create a 2500ft buffer today. #NoDrillingWhereWereLiving",,,,
"Bruce Ray Carr
2020 & FOREVER!",@BruceRayCarr1,2020-11-20T19:57:58.000Z,"Replying to 
@DaveMustang9
 @gineycat
 and 2 othersThose you listed are only a tiny fraction of those made homeless by real estate interests' greed.",🌊,3,,
Dave Mustang,@DaveMustang9,2020-11-20T19:51:25.000Z,"Replying to 
@gineycat
 @CD6Nury
 and 
@LACityCouncilYes, because choosing to do hard drugs, refuse to seek unemployment, and living in a disease-riddled dump of a city are definitely NOT individual choices. Maybe the problem isn't housing the homeless, but figuring out why they went homeless to begin with",,1,,2
a_grown_woman_learning,@HelloRealOG,2020-11-20T19:48:20.000Z,".
@LACityCouncil
 Can you celebrate Christmas voting to jail those without a place to lay their head? #housekeysnothandcuffs",,,1,2
Leah G-O,@lgomyeggo,2020-11-20T19:47:50.000Z,".
@LACityCouncil
 ""We . . .so hold that an ordinance violates the Eighth Amendment insofar as it imposes criminal sanctions against homeless individuals for sleeping outdoors, on public property, when no alternative shelter is available to them."" Martin v. Boise. 1/People's City Council - Los Angeles
@PplsCityCouncil
 · Nov 19
call to action tomorrow
Join the #ServicesNotSweeps coalition and @JusticeLANow for a twitter storm tomorrow Friday, November 20, at 11 am. City Council will vote on the 41.18 motion on Tuesday, we need to let them hear us

Toolkit here: https://bit.ly/No4118",🚨 🚨 🚨 🚨,1,,2
Gina Viola she/her,@GinaViolaPeake,2020-11-20T19:40:44.000Z,"What does it say that a CM 
@JoeBuscaino
 is going from neighborhood council to neighborhood council THROUGHOUT the city to try and gain support for his motion 20-1376? It says his motion is garbage and 
@LACityCouncil
 must vote NO! #HousekeysNotHandcuffs",,,3,4
#WearAMask! Ⓥ,@djbelieve,2020-11-20T19:38:28.000Z,"Replying to 
@GinaViolaPeake
 @cantypelettwrs
 and 
@LACityCouncil#HousekeysNotHandcuffs!",🗣,,,1
Julia,@vegfeminist,2020-11-20T19:36:24.000Z,"Housing is a human right. Not housing people right now is murderous.
@CD6Nury
 
@LACityCouncil
 #housekeysnothandcuffsgina antqueefa
@gineycat
 · Nov 20
homelessness is not a result of individual choice, it is a result of the City’s failed housing policy. expand housing stock, commandeer the hotels, and house every Angeleno now @CD6Nury @LACityCouncil #housekeysnothandcuffs twitter.com/pplscitycounci…",,,7,9
Gina Viola she/her,@GinaViolaPeake,2020-11-20T19:35:56.000Z,"I don't even know the word for what it means that our 
@LACityCouncil
 continues to let 4 people die a day on the streets of our city. Hotels and housing sit empty. That's what should be criminalized! #HousekeysNotHandcuffsHousing 4 All is Hot
@commukniss
 · Nov 20
#SeizeTheHotels: LA has 100,000 hotel rooms, 70,000 of which will be vacant for the next 5 years. @MayorOfLA commandeer the vacant hotels and house every Angeleno now. #housekeysnothandcuffs",,,,3
colorful shirt//catchy slogan,@_johnsonsabrina,2020-11-20T19:35:31.000Z,".
@LACityCouncil
 is happy to bend the rules to appease rich property owners. #housekeysnothandcuffsAlbert Jaragua Cøradø
@digitalurn
 · Nov 20
There are only 15,000 available shelter beds. If every single bed were made available, it would meet the needs of 1/3 of LA's unsheltered population, leaving at least 29,000 subject to enforcement of the 41.18 amended ordinance. This defies Martin v Boise. #housekeysnothandcuffs",,,3,23
Gina Viola she/her,@GinaViolaPeake,2020-11-20T19:32:11.000Z,"More knowledge from 
@cantypelettwrs
 HOTELS!  
@LACityCouncil
 All these fancy hotels got big pay outs from the city! When it came time for them to do their part, NOPE they sit empty while people die on the street! #HousekeysNotHandcuffs",,1,11,27
Gina Viola she/her,@GinaViolaPeake,2020-11-20T19:29:34.000Z,"Listen to 
@cantypelettwrs
 !  There are 2 vacant houses for every unhoused person living on our streets. This is not some unsolvable mystery. 
@LACityCouncil
 refusal to do anything other than criminalize shows who they are, GREEDY, lazy and corrupt. #HousekeysNotHandcuffs",,2,25,36
Gina Viola she/her,@GinaViolaPeake,2020-11-20T19:17:25.000Z,"The sad truth is that our 
@LACityCouncil
 is currently a group of useless robber barons who would rather sweep poor people into jails so their greedy developer friends can make that money! We say NO to your cruel and evil ways. No to 41.18 NO NO NO #HousekeysNotHandcuffs",,,4,9
’22 and LA races,@BodiesRInfinite,2020-11-20T19:15:32.000Z,"41.18 is nothing but an admission of failure on the part of 
@MayorOfLA
 and 
@LACityCouncil
  to respond to the humanitarian crisis being experienced by unhoused Angelinos. The answer is NOT the dehumanization of people and criminalization of poverty. It's #housekeysnothandcuffs",🧩,,1,
